id,product_id,variant_id,image_url,alt_text,display_order
1,100,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634598/image_placeholder_square_blue-0062FF_endsvu.svg,Blue outline icon of a simple mountain landscape and sun inside a rounded square.,1
2,100,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,2
3,112,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,1
4,112,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,2
5,127,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,1
6,127,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_red-C70E07_gxaxuz.svg,Red outline icon of a simple mountain landscape and sun inside a rounded square.,2
7,140,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_red-C70E07_gxaxuz.svg,Red outline icon of a simple mountain landscape and sun inside a rounded square.,1
8,140,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_green-3AD618_e4j8rq.svg,Green outline icon of a simple mountain landscape and sun inside a rounded square.,2
9,151,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_green-3AD618_e4j8rq.svg,Green outline icon of a simple mountain landscape and sun inside a rounded square.,1
10,151,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_teal-18D6BD_ur8eca.svg,Teal outline icon of a simple mountain landscape and sun inside a rounded square.,2
11,164,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_teal-18D6BD_ur8eca.svg,Teal outline icon of a simple mountain landscape and sun inside a rounded square.,1
12,164,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634614/image_placeholder_square_black_slwjr1.svg,Black outline icon of a simple mountain landscape and sun inside a rounded square.,2
13,181,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634614/image_placeholder_square_black_slwjr1.svg,Black outline icon of a simple mountain landscape and sun inside a rounded square.,1
14,181,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634598/image_placeholder_square_blue-0062FF_endsvu.svg,Blue outline icon of a simple mountain landscape and sun inside a rounded square.,2
15,182,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634598/image_placeholder_square_blue-0062FF_endsvu.svg,Blue outline icon of a simple mountain landscape and sun inside a rounded square.,1
16,182,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,2
17,183,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,1
18,183,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,2
19,101,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,1
20,101,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_red-C70E07_gxaxuz.svg,Red outline icon of a simple mountain landscape and sun inside a rounded square.,2
21,113,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_red-C70E07_gxaxuz.svg,Red outline icon of a simple mountain landscape and sun inside a rounded square.,1
22,113,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_green-3AD618_e4j8rq.svg,Green outline icon of a simple mountain landscape and sun inside a rounded square.,2
23,128,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_green-3AD618_e4j8rq.svg,Green outline icon of a simple mountain landscape and sun inside a rounded square.,1
24,128,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_teal-18D6BD_ur8eca.svg,Teal outline icon of a simple mountain landscape and sun inside a rounded square.,2
25,141,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_teal-18D6BD_ur8eca.svg,Teal outline icon of a simple mountain landscape and sun inside a rounded square.,1
26,141,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634614/image_placeholder_square_black_slwjr1.svg,Black outline icon of a simple mountain landscape and sun inside a rounded square.,2
27,152,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634614/image_placeholder_square_black_slwjr1.svg,Black outline icon of a simple mountain landscape and sun inside a rounded square.,1
28,152,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634598/image_placeholder_square_blue-0062FF_endsvu.svg,Blue outline icon of a simple mountain landscape and sun inside a rounded square.,2
29,165,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634598/image_placeholder_square_blue-0062FF_endsvu.svg,Blue outline icon of a simple mountain landscape and sun inside a rounded square.,1
30,165,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,2
31,184,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_purple-9100FF_veslyb.svg,Purple outline icon of a simple mountain landscape and sun inside a rounded square.,1
32,184,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,2
33,185,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634599/image_placeholder_square_pink-E721C7_y8wlvf.svg,Pink outline icon of a simple mountain landscape and sun inside a rounded square.,1
34,185,,https://res.cloudinary.com/dlqadfo7q/image/upload/v1770634600/image_placeholder_square_red-C70E07_gxaxuz.svg,Red outline icon of a simple mountain landscape and sun inside a rounded square.,2
